extracted_title,title,title_match
elaboration of fused ring systems by the agency of βchloroethyl vinyl ketone,elaboration of fused ring systems by the agency of betachloroethyl vinylketone,0
,the ecology of the molluscs of thalassia communities jamaica west indies,0
,the techniques of softening eta hoffmanns presentation of the fantastic,0
crania and dentitions of archaeolemurinae lemuroidea primates,crania and dentitions of archaeolemurinae lemuroidea primates,1
studies on waves in elasticviscoplastic media,studies on waves in elasticviscoplastic media,1
,acoustic velocities and energy losses in granular aggregates,0
optimal niche space of the redwinged blackbird,optimal niche space of the redwinged blackbird,1
,the effects of two types of success and failure on childrens discrimination learning and evaluations of performance,0
surface diffusion and its dependence on surface water,surface diffusion and its dependence on surface water,1
,the dispersion of the nonlinear optical susceptibility of some wurtzite and zincblende semiconductors,0
,semiclassical theory applied to vibrationally inelastic scattering in three dimensions,0
adaptive behavior and speculative price formation,adaptive behavior and speculative price formation,1
,raman scattering in liquid helium and rotonroton interactions,0
,some aspects of the ecology of limnetic zooplankton in lake wononskopmucconnecticut,0
,videotape and the attribution process changing actors and observers points of view,0
structural biochemical and physiological aspects of photomorphogenesis in fern gametophytes,structural biochemical and physiological aspects of photomorphogenesis in fern gametophytes,1
fluorescence of molecular ions hbr+ cs2+ and n2o+,fluorescence of singly positive molecular ions of hydrogenbromide carbondisulfide and nitrousoxide,0
estimating a general disequilibrium model of the financial sector,estimating a general disequilibrium model of the financial sector,1
,the effect of reserpine on macromolecular synthesis and the repletion of biogenic amines,0
,adsorption at the mercuryaqueous solution electrical double layer,0
,an experimental investigation of spherical cap bubbles in liquids,0
the aromatization of dewar benzene a mechanistic study a thesis presented,the aromatization of dewar benzene a mechanistic study,0
mechanism of fluoroalkene cycloaddition and oclactone chemistry a thesis presented,mechanism of fluoroalkene cycloaddition and alphalactone chemistry,0
transition metal complexes with organosilylamines a thesis presented,transitionmetal complexes with organosilylamines,0
microwavemicrowave double resonance investigations of collisional transfer of rotational energy a thesis presented,microwavemicrowave double resonance investigations of collisional transfer of rotational energy,0
the relationship of classroom racial composition to student academic achievement and the conditioning effects of interracial social acceptance,the relationship of classroom racial composition to student academic achievement and the conditioning effects of interracial social acceptance,1
the hydrolysis of some nsubstituted cyclic phosphorodiamidates of ethylenediamine a thesis presented,the hydrolysis of some nsubstituted cyclic phosphorodiamidates of ethylenediamine,0
photometry of elliptical galaxies in multiple systems a thesis presented,photometry of elliptical galaxies in multiple systems,0
a gasčerenkov telescope experiment to observe cosmic gamma rays a thesis presented,a gascerenkov telescope experiment to observe cosmic gammarays,0
new applications of organometallic reagents in organic synthesis a stereospecific total synthesis of αsantalol a thesis presented,new applications of organometallic reagents in organic synthesis a stereospecific total synthesis of alphasantalol,0
competition between concerted and biradical dielsalder reactions a thesis presented,competition between concerted and biradical dielsalder reactions,0
the reactions of methylone with isobutane and cyclopropane a thesis presented,the reactions of methylene with isobutane and cyclopropane,0
interactions of cosmic rays with hydromagnetic waves in the galaxy a thesis presented,interactions of cosmic rays with hydromagnetic waves in the galaxy,0
,the eightyear study origins impact and implications,0
,improving investment performance and the role of fixedincome securities,0
the process of program initiation at the federal level papers on the national foundation for postsecondary education,the process of program initiation at the federal level papers on the national foundation for postsecondary education,1
intramolecular catalysis in the hydrolysis of some phosphonate esters a thesis presented,intramolecular catalysis in the hydrolysis of some phosphonate esters,0
the dissonant design john ford and the art of tragedy a thesis presented,the dissonant design john ford and the art of tragedy,0
,the role of the assistant academic vice president saint louis university19721973 an analysis of an intervention,0
,pedagogy for peace and nonviolence a critical analysis of peace and nonviolence studies programs on college campuses in the northeastern usa,0
stereoselectivity in the thermal rearrangement of optically active cyclobutanes a thesis presented,stereoselectivity in the thermal rearrangement of optically active cyclobutanes,0
metal hydride reduction of ketones stereochemistry and kinetics a thesis presented to the faculty of the graduate division,metalhydride reduction of ketones stereochemistry and kinetics,0
thermally induced flow instabilities in twophase mixtures in thermal equilibrium a thesis presented to the faculty of the graduate division,thermally induced flow instabilities in twophase mixtures in thermal equilibrium,0
the kinetics and mechanism of nucleophilic substitution on 9substituted6chloropurines a thesis presented to the faculty of the graduate division,the kinetics and mechanism of nucleophilic substitution on 9substituted6chloropurines,0
kinetics of iodination of methyl substituted benzenes a thesis presented to the faculty of the graduate division,kinetics of iodination of methyl substituted benzenes,0
tetrafluoride and heliumchlorotrifluoromethane systems at low temperatures and 20120 atmospheres a thesis presented to the faculty of the graduate division,gasliquid phase equilibria in the helium  carbontetrafluoride and helium  chlorotrifluoromethane systems at low temperatures and 20120 atmospheres,0
twophase flow a thesis presented to the faculty of the division of graduate studies and research,thermofluid dynamics of separated twophase flow,0
gaseous mixtures by hot surfaces a thesis presented to the faculty of the division of graduate studies and research,the steadystate theory of ignition of flowing gaseous mixtures by hot surfaces,0
substitution of purines a thesis presented to the faculty of the division of graduate studies and research,kinetic study on the nucleophilic substitution of purines,0
of endo triazolines a thesis presented to the faculty of the graduate division,the chemistry of endotriazolines,0
propellant rocket engines a thesis presented to the faculty of the division of graduate studies and research,a theoretical study of nonlinear longitudinal combustion instability in liquid propellant rocket engines,0
the photochemistry of azafulvenes a thesis presented to the faculty of the division of graduate studies and research,the photochemistry of azafulvenes,0
rearrangements of crossconjugated cyclohexadienones related to indanone a thesis presented to the faculty of the graduate division,substituent effect of photochemical rearrangements of crossconjugated cyclohexadienones related to indanone,0
the role of sediment gradation on channel armoring a thesis presented to the faculty of the graduate division,the role of sediment gradation on channel armoring,0
thermal neutron spectra in beryllium a dissertation presented to the faculty of the division of graduate studies and research,measurement of steadystate space dependent thermalneutronspectra in beryllium,0
liquid rocket nozzle admittances a thesis presented to the faculty of the division of graduate studies and research,experimental determination of threedimensional liquid rocket nozzle admittances,0
probe compensated nearfield measurements on a cylinder a thesis presented to the faculty of the division of graduate studies and research,probe compensated nearfield measurements on a cylinder,0
in nickel  20 atomic percent molybdenum alloy a thesis presented to the faculty of the division of graduate studies and research,shortrange order and development of longrange order in nickel  20 atomic percent molybdenum alloy,0
lubricant rheology at high shear stress a thesis presented to the faculty of the division of graduate studies and research,lubricant rheology at high shear stress,0
301 k and up to thirtyfive atmospheres a thesis presented to the faculty of the division of graduate studies and research,adsorption on activated carbon of methane ethane and ethylene gases and their mixtures and carbondioxide at 212 k 260 k and 301 k and up to thirtyfive atmospheres,0
between the phases a thesis presented to the faculty of the division of graduate studies and research,thermally induced twophase flow instabilities including the effect of thermal nonequilibrium between the phases,0
and the committee on graduate studies of stanford university in partial fulfillment of the requirements for the degree of doctor of philosophy,accommodation in computer vision,0
and the committee on graduate studies of stanford university in partial fulfillment of the requirements for the degree of doctor of philosophy,yoruba phonology,0
and the committee on graduate studies of stanford university in partial fulfillment of the requirements for the degree of doctor of philosophy,bilinear programming,0
and the committee on graduate studies of stanford university in partial fulfillment of the requirements for the degree of doctor of philosophy,pricelevel changes and the inventory policy of the firm,0
and the committee on graduate studies of stanford university in partial fulfillment of the requirements for the degree of doctor of philosophy,contributions to the simplex code conjecture,0
and the committee on the graduate division of stanford university in partial fulfillment of the requirements for the degree of doctor of philosophy,the petrology and petrography of the volcanic sequence associated with the superstition caldera superstition mountains arizona,0
and the committee on graduate studies of stanford university in partial fulfillment of the requirements for the degree of doctor of philosophy,poisson approximation for sums of dependent bernoulli random variables,0
and the committee on the graduate division of stanford university in partial fulfillment of the requirements for the degree of doctor of philosophy,finance in a development context lessons from west germany,0
and the committee on graduate studies of stanford university in partial fulfillment of the requirements for the degree of doctor of philosophy,ddt residues in coastal marine phytoplankton and their transfer in pelagic food chains,0
and the committee on the graduate division of stanford university in partial fulfillment of the requirements for the degree of doctor of philosophy,economies of scale in financial intermediation a statistical investigation of california savings and loan associations,0
and the committee on graduate studies of stanford university in partial fulfillment of the requirements for the degree of doctor of philosophy,ecological studies on the butterfly euphydryas editha,0
and the committee on the graduate division of stanford university in partial fulfillment of the requirements for the degree of doctor of philosophy,optimization of price and quality in service systems,0
and the committee on graduate studies of stanford university in partial fulfillment of the requirements for the degree of doctor of philosophy,the mineralogy and geochemistry of the tungsten deposits of the black rock mine area mono county california,0
and the committee on graduate studies of stanford university in partial fulfillment of the requirements for the degree of doctor of philosophy,computational methods for the synthesis of rotarywing vtol aircraft control systems,0
and the committee on graduate studies of stanford university in partial fulfillment of the requirements for the degree of doctor of philosophy,influence of resource distribution and abundance on butterfly population structure,0
,applications of the theory of optimal control of distributedparameter systems to structural optimization,0
and the committee on graduate studies of stanford university in partial fulfillment of the requirements for the degree of doctor of philosophy,tectonic significance of geophysical investigations in southwestern arizona and northwestern sonora mexico at the head of the gulf of california,0
and the committee on graduate studies of stanford university in partial fulfillment of the requirements for the degree of doctor of philosophy,four studies in phenomenology and pragmatism,0
and the committee on graduate studies of stanford university in partial fulfillment of the requirements for the degree of doctor of philosophy,a study of the realtime control of a computerdriven vehicle,0
and the committee on graduate studies of stanford university in partial fulfillment of the requirements for the degree of doctor of philosophy,bayesian expert resolution,0
memory codes revealed by response latencies,memory codes revealed by response latencies,1
a marketing analysis model applied to roman catholic elementary and secondary education in toledo ohio,a marketing analysis model applied to roman catholic elementary and secondary education in toledo ohio,1
the effects of provisions for imagery through materials and drawings on translating algebra word problems grades seven ano nine,the effects of provisions for imagery through materials and drawings on translating algebra word problems grades seven and nine,0
william d revelli the hobart years,william d revelli the hobart years,1
exotic ions in liquid helium,exotic ions in liquid helium,1
a metallurgical study of high stress abrasion,a metallurgical study of high stress abrasion,1
a logical basis for nouns adjectives and verbs,a logical basis for nouns adjectives and verbs,1
the concept of empathic understanding,the concept of empathic understanding,1
double commutants of singly generated operator algebras,double commutants of singly generated operator algebras,1
an analysis of the concept of alienation in karl marxs early writings,an analysis of the concept of alienation in karl marxs early writings,1
reactions of molecular nitrogen with titanocene and its derivatives,reactions of molecular nitrogen with titanocene and its derivatives,1
solution and unity in schoenbergs george songs op 15,evolution and unity in schoenbergs george songs op 15,0
instrumentation for the study of rapid biological oxidationreduction reactions by epr and optical spectroscopy,instrumentation for the study of rapid biological oxidationreduction reactions by epr and optical spectroscopy,1
precambrian geology and mineral deposits of the salida area chaffee county colorado,precambrian geology and mineral deposits of the salida area chaffee county colorado,1
a generative approach to the development of avestan and old persian consonants,a generative approach to the development of avestan and old persian consonants,1
measurements and models of the dispersed phase mixing process,measurements and models of the dispersed phase mixing process,1
sentential complementation in middle english and early modern english a study of linguistic change,sentential complementation in middle english and early modern english a study of linguistic change,1
estimation of local fiscal capacity,estimation of local fiscal capacity,1
the obligation t0 obey the law an essay on law social institutions and morality,the obligation to obey the law an essay on law social institutions andmorality,0
the wallace campaign worker in wayne county michigan,the wallace campaign worker in wayne county michigan,1
franz liszts approach to piano playing,franz liszts approach to piano playing,1
pion production in nuclear collisions,pion production in nuclear collisions,1
minimumfuel attitude control and stabilization of an inertiallyoriented space station,minimumfuel attitude control and stabilization of an inertiallyorientedspace station,0
finite difference solutions of steady laminar flow through a pipe orifice,finite difference solutions of steady laminar flow through a pipe orifice,1
george frederick root pioneer music educator his contributions to mass instruction in music,george frederick root pioneer music educator his contributions to mass instruction in music,1
radiolodine labeled human igg and igg fraction of rabbit antihuman igg serum the use of labeled antibody as antibody in precipitation and double antibody reactions and as antigen in precipitation and double antibody radioimmunoassays,radioiodine labeled human immunoglobuling and immunoglobuling fraction of rabbit antihuman immunoglobuling serum the use of labeled antibodyas antibody in percipitation and double antibody reactions and as antigen in precipitation and double antibody radioimmunoassays,0
an application of the facetfactorial approach to scale construction in the development of a rating scale for clarinet music performance,an application of the facetfactorial approach to scale construction in the development of a rating scale for clarinet music performance,1
ultrasonic absorption study of ecaprolactam in cyclohexane solutions,ultrasonic absorption study of epsiloncaprolactam in cyclohexane solutions,0
the soldiers orphan schools of pennsylvania 18641889,the soldiers orphan schools of pennsylvania 18641889,1
larval ixodid ticks of indonesia acarina ixodidae,larval ixodid ticks of indonesia acarina ixodidae,1
the effects of video tape feedback on the achievement of students in a beginning conducting class,the effects of videotape feedback on the achievement of students in a beginning conducting class,0
the effect of one type of preinterview verbal discrimination training model on verbal behavior in an interview setting,the effect of one type of preinterview verbal discrimination training model on verbal behavior in an interview setting,1
comparative systematic anatomy of the parasite cassytha lauraceae,comparative systematic anatomy of the parasite cassytha lauraceae,1
,the politics of the korean minority in japan,0
the effects of general semantics on the personality adjustment of elementary school children,the effects of general semantics on the personality adjustment of elementary school children,1
radiationinduced grafting of styrene to polyethylene and hexatriacontane,radiationinduced grafting of styrene to polyethylene and hexatriacontane,1
radiationinduced grafting of butadiene to chlorinated polyethylene and poly vinyl chloride,radiationinduced grafting of butadiene to chlorinated polyethylene and polyvinyl chloride,0
the freedmen at pompett,the freedmen at pompeii,0
the battle of midway a study in command,the battle of midway a study in command,1
the harrowing of hell a study of its reception and artistic interpretation in early mediaeval european literature,the harrowing of hell a study of its reception and artistic interpretation in early mediaeval european literature,1
a wavy wall analytical model of mucociliary pumping,a wavy wall analytical model of mucociliary pumping,1
on some largesample methods in statistical point estimation,on some largesample methods in statistical point estimation,1
studies on the extraction accumulation and metabolism of phthalate ester plasticizers from polyvinyl chloride medical devices,studies on the extraction accumulation and metabolism of phthalate esterplasticizers from polyvinyl chloride medical devices,0
conservation principles and stability in the evolution of drainage systems,conservation principles and stability in the evolution of drainage systems,1
computer simulations of turbulent dispersion,computer simulations of turbulent dispersion,1
the distribution and arrangement of urban structure and spatial change,the distribution and arrangement of urban structure and spatial change,1
the elizabethan gentlemen adventurers and western planting,the elizabethan gentlemen adventurers and western planting,1
cigoli studies,cigoli studies,1
representation and detection of concurrency using ordering matrices,representation and detection of concurrency using orderingmatrices,0
an investigation of the role of short waves and wind drift in the interaction between wind and long gravity waves,an investigation of the role of short waves and wind drift in the interaction between wind and long gravity waves,1
the living lyre a study of the poetry of thomas gray,the living lyre a study of the poetry of thomas gray,1
the poetic development of barthold heinrich brockes in his irdisches vergnugen in gott,the poetic development of barthold heirich brockes in his irdisches vergnuegen in gott,0
animal imagery in the old testaments some aspects of hebrew poetics,animal imagery in the old testament some aspects of hebrew poetics,0
,city size land use and transportation costs,0
an essay on the concept of collective rationality,an essay on the concept of collective rationality,1
surface relief cinemicrography of the unsteady solidification of the leadtincadmium ternary eutectic,surface relief cinemicrography of the unsteady solidification of the lead  tin  cadmium ternary eutectic,0
studies on women at mari politics and religion,studies on women at mari politics and religion,1
henry draper a scientific biography,henry draper a scientific biography,1
transportation and the urban economy,transportation and the urban economy,1
on the motion of a line common to three different materials,on the motion of a line common to three different materials,1
,second sound attenuation in a liquid helium counterflow jet,0
,the flow of human blood through capillary tubes with inside diameters between 87 and 221 microns,0
,estimation and control of stochastic chemical systems,0
,characteristics of transverse mixing in openchannel flows,0
,two topics in particle physics i tests for helicity conservation and spinparity selection rules in diffraction dissociaiton ii independent production of pions,0
,theoretical frameworks for testing relativistic gravity the parametrizedpostnewtonian formalism,0
,modes and spectra of high gain lasers,0
,an electrical and statistical study of burst noise,0
,applications of model theory to complex analysis,0
,surface wave propagation and source studies in the gulf of california region,0
,the origins of the nonlinear refractive indices of liquids and glasses,0
,lowfrequency characterization of switched dcdc converters,0
,a mathematical and experimental investigation of microcycle spectral estimates of semiconductor flicker noise,0
,aperture synthesis observations of neutral hydrogen in three galaxies,0
particle collection from aqueous suspensions,particle collection from aqueous suspensions by solid and hollow single fibers,0
,more fun than anything a study of cyclopropenium salts,0
,flow induced vibration of bluff structures,0
,two pigeonhole principles and unions of convexlydisjoint sets,0
,the structure of compact radio sources at 107 ghz,0
,viscous and nonlinear effects in the oscillations of drops and bubbles,0
,superconductivity in metalsemiconductor eutectic alloys,0
,some problems in nonlinear elasticity,0
,numerical ranges of powers of operators,0
,a structured designmethod for specialized proof procedures,0
,a study of the entrainment and turbulence in a plane buoyant jet,0
,assessment of department store selling competency,0
,life history of physaloptera rara hall and wigdor 1918 in definitive intermediate and paratenic hosts,0
,epizootic bovine abortion tissue predilection and serologic evaluation of the etiologic agent,0
,22bipyrimidine coordination polymers,0
,accelerating agricultural production in saudi arabia,0
,infiltration affected by flow of air,0
,imagea factor in tourism,0
,soil descriptions and simulation model of potassium cycling in colorado forests,0
,water infiltration under centerpivots,0
,mechanics of soil erosion from overland flow generated by simulated rainfall,0
,anxiety management training,0
,biosystematic studies of oenothera l subgenus pachylophus,0
,immunogenetics of salmonid serum proteins,0
,chlorinated pollutant photodynamics,0
,plasmasolid interface energy transport,0
,chemical pasteurization of poultry meat,0
,metabolic fate of nitrogen15 and carbon14 labeled betaine,0
,reactions of auto mechanics terminees and supervisors to the importance and quality of auto mechanics training,0
,habitat exploitation by an avian groundforaging guild,0
,relationship between innovative teachers and student achievement and career aspirations,0
,economic and legal protection for aquatic habitats in the united states,0
,verification of a mathematical model for wood joist floor systems,0
,induced photolysis of alkyl halides,0
,layered beam vibrations including slip,0
,the development and field testing of a written occupational competency examination for auto mechanic teachers,0
